ts_utc,ts_local,username,role,content
2025-08-19T09:35:17.987077+00:00,2025-08-19T16:35:17.987077+07:00,3,user,2
2025-08-19T09:35:29.019230+00:00,2025-08-19T16:35:29.019230+07:00,3,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000023BD9BF3BF0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T09:36:44.590534+00:00,2025-08-19T16:36:44.590534+07:00,3,user,3
2025-08-19T09:36:56.769167+00:00,2025-08-19T16:36:56.769167+07:00,3,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000023BDA5FAF30>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T09:48:02.390190+00:00,2025-08-19T16:48:02.390190+07:00,3,user,2
2025-08-19T09:48:14.103217+00:00,2025-08-19T16:48:14.103217+07:00,3,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002B730695130>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T09:48:44.068008+00:00,2025-08-19T16:48:44.068008+07:00,3,user,hi
2025-08-19T09:48:55.244716+00:00,2025-08-19T16:48:55.244716+07:00,3,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002B73118E030>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T09:58:41.003866+00:00,2025-08-19T16:58:41.003866+07:00,3,user,2
2025-08-19T09:58:53.808847+00:00,2025-08-19T16:58:53.808847+07:00,3,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002B73129A8D0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
